stateDescription,fueltypeid,period,predicted_energy_production_KWh
Hawaii,SUN,2024,1064020284.1246643
Hawaii,SUN,2025,1148738145.0958862
Hawaii,WND,2023,1289762655.7554147
Hawaii,WND,2024,1289218123.2662323
Hawaii,WND,2025,1288673590.77705
Idaho,NG,2023,11846145251.527588
Idaho,NG,2024,12525748741.242188
Idaho,NG,2025,13205352230.957031
Idaho,PET,2023,111367.00659999996
Idaho,PET,2024,109209.23059010971
Idaho,PET,2025,107051.4545802204
Idaho,SUN,2023,1140844348.2880707
Idaho,SUN,2024,1161828446.2365494
Idaho,SUN,2025,1182812544.185028
Idaho,WND,2023,5729652208.994659
Idaho,WND,2024,5758693645.459419
Idaho,WND,2025,5787735081.924187
Illinois,COL,2023,88166651797.51562
Illinois,COL,2024,72262156602.1836
Illinois,COL,2025,56357661406.85547
Illinois,NG,2023,61497526985.725586
Illinois,NG,2024,65471325520.04199
Illinois,NG,2025,69445124054.3584
Illinois,NUC,2023,302505272666.98
Illinois,NUC,2024,303023290533.37537
Illinois,NUC,2025,303541308399.7706
Illinois,PET,2023,115834498.25649261
Illinois,PET,2024,102058682.94945908
Illinois,PET,2025,88282867.64242554
Illinois,SUN,2023,1191922051.3201904
Illinois,SUN,2024,1307558639.6492615
Illinois,SUN,2025,1423195227.978363
Illinois,WND,2023,37409990873.25195
Illinois,WND,2024,38722431027.024414
Illinois,WND,2025,40034871180.796875
Indiana,COL,2023,138152878449.6211
Indiana,COL,2024,123132632301.26562
Indiana,COL,2025,108112386152.91406
Indiana,NG,2023,76290415264.5332
Indiana,NG,2024,81063137419.54102
Indiana,NG,2025,85835859574.54883
Indiana,PET,2023,135355878.49456787
Indiana,PET,2024,0.0
Indiana,PET,2025,0.0
Indiana,SUN,2023,1543771324.1499023
Indiana,SUN,2024,1686587818.0133057
Indiana,SUN,2025,1829404311.876709
Indiana,WND,2023,15114405747.944824
Indiana,WND,2024,15554340508.808594
Indiana,WND,2025,15994275269.672485
Iowa,COL,2023,40202440858.046875
Iowa,COL,2024,34286472271.79883
Iowa,COL,2025,28370503685.55078
Iowa,NG,2023,18449473218.256836
Iowa,NG,2024,19813577956.320312
Iowa,NG,2025,21177682694.38379
Iowa,NUC,2023,13116647405.970703
Iowa,NUC,2024,12956340248.24878
Iowa,NUC,2025,12796033090.526917
Iowa,PET,2023,231167342.57572937
Iowa,PET,2024,219761660.64357376
Iowa,PET,2025,208355978.71141434
Iowa,SUN,2023,503222565.261322
