stateDescription,fueltypeid,period,predicted_energy_production_KWh
Vermont,NG,2024,0.0
Vermont,NG,2025,0.0
Vermont,NUC,2023,16742386192.820496
Vermont,NUC,2024,16893992150.402588
Vermont,NUC,2025,17045598107.98462
Vermont,PET,2023,17054475.44003141
Vermont,PET,2024,16700091.32573855
Vermont,PET,2025,16345707.21144557
Vermont,SUN,2023,387146593.61948395
Vermont,SUN,2024,417401737.2225189
Vermont,SUN,2025,447656880.82554626
Vermont,WND,2023,872367404.7431641
Vermont,WND,2024,907084526.4019012
Vermont,WND,2025,941801648.0606232
Virginia,COL,2023,937881349.0761719
Virginia,COL,2024,0.0
Virginia,COL,2025,0.0
Virginia,NG,2023,130731273614.58008
Virginia,NG,2024,137642647610.37695
Virginia,NG,2025,144554021606.17383
Virginia,NUC,2023,91588476091.86084
Virginia,NUC,2024,92076011043.68213
Virginia,NUC,2025,92563545995.50354
Virginia,PET,2023,875475716.5115356
Virginia,PET,2024,738323608.6494751
Virginia,PET,2025,601171500.7874146
Virginia,SUN,2023,6628636523.695801
Virginia,SUN,2024,7542526565.597168
Virginia,SUN,2025,8456416607.498291
Virginia,WND,2023,34670796.03277588
Virginia,WND,2024,0.0
Virginia,WND,2025,0.0
Washington,COL,2023,13701892954.026733
Washington,COL,2024,13167067951.292236
Washington,COL,2025,12632242948.55774
Washington,NG,2023,37001525246.53906
Washington,NG,2024,38667384228.67529
Washington,NG,2025,40333243210.81201
Washington,NUC,2023,28624144226.623047
Washington,NUC,2024,28918859232.09204
Washington,NUC,2025,29213574237.561157
Washington,PET,2023,53636527.47793722
Washington,PET,2024,54245780.36517143
Washington,PET,2025,54855033.25240588
Washington,SUN,2023,175674921.61336517
Washington,SUN,2024,193597338.29917145
Washington,SUN,2025,211519754.9849701
Washington,WND,2023,16293786702.037537
Washington,WND,2024,16037199411.870728
Washington,WND,2025,15780612121.703918
West Virginia,COL,2023,146451399738.55078
West Virginia,COL,2024,139971691390.6582
West Virginia,COL,2025,133491983042.76758
West Virginia,NG,2023,7598305756.601807
West Virginia,NG,2024,8198219100.065186
West Virginia,NG,2025,8798132443.528564
West Virginia,PET,2023,456690471.2816229
West Virginia,PET,2024,457357565.4481671
West Virginia,PET,2025,458024659.6147113
West Virginia,WND,2023,3648674197.6558037
West Virginia,WND,2024,3642163234.147848
West Virginia,WND,2025,3635652270.6398907
Wisconsin,COL,2023,65850010185.703125
Wisconsin,COL,2024,61122808061.16797
Wisconsin,COL,2025,56395605936.634766
Wisconsin,NG,2023,53333500197.546875
Wisconsin,NG,2024,56538110971.48633
Wisconsin,NG,2025,59742721745.42578
Wisconsin,NUC,2023,27802159004.461914
Wisconsin,NUC,2024,27037845241.418213
Wisconsin,NUC,2025,26273531478.37451
Wisconsin,PET,2023,431818115.7128601
Wisconsin,PET,2024,393521050.42004395
Wisconsin,PET,2025,355223985.12724304
Wisconsin,SUN,2023,956527169.9780579
Wisconsin,SUN,2024,1091150680.361908
Wisconsin,SUN,2025,1225774190.7457275
Wisconsin,WND,2023,3321204371.3547974
Wisconsin,WND,2024,3242782147.169098
Wisconsin,WND,2025,3164359922.983429
Wyoming,COL,2023,102862511781.1582
Wyoming,COL,2024,99929037833.19922
Wyoming,COL,2025,96995563885.24121
Wyoming,NG,2023,2873316498.9971924
Wyoming,NG,2024,3146383214.076782
Wyoming,NG,2025,3419449929.156494
Wyoming,PET,2023,148390172.46555144
Wyoming,PET,2024,148497500.8883956
Wyoming,PET,2025,148604829.31123978
Wyoming,SUN,2023,289992288.6308241
Wyoming,SUN,2024,291241525.00034714
Wyoming,SUN,2025,292490761.3698697
Wyoming,WND,2023,12562705022.492737
Wyoming,WND,2024,12650012291.9693
Wyoming,WND,2025,12737319561.445862
