state-name,fuel-name,period,co2_per_kwh
Tennessee,Coal,2025,3.3285216608241445e-10
Tennessee,Natural Gas,2025,1.660615574651775e-10
Tennessee,Petroleum,2025,8.089228330219323e-11
Texas,Coal,2025,4.940582980633931e-10
Texas,Natural Gas,2025,1.7314516289378099e-10
Texas,Petroleum,2025,0.0
Utah,Coal,2025,4.1834653297736564e-10
Utah,Natural Gas,2025,1.7920229859380404e-10
Utah,Petroleum,2025,2.0415359462228046e-10
Vermont,Natural Gas,2025,
Vermont,Petroleum,2025,0.0
Virginia,Coal,2025,
Virginia,Natural Gas,2025,1.7279689419043897e-10
Virginia,Petroleum,2025,0.0
Washington,Coal,2025,2.6619930147842565e-10
Washington,Natural Gas,2025,1.445626783725853e-10
Washington,Petroleum,2025,0.0
West Virginia,Coal,2025,3.7247471339590506e-10
West Virginia,Natural Gas,2025,1.1812255656569724e-10
West Virginia,Petroleum,2025,1.7207302722438174e-10
Wisconsin,Coal,2025,4.1842150897512265e-10
Wisconsin,Natural Gas,2025,1.563213741002064e-10
Wisconsin,Petroleum,2025,4.826574364405579e-10
Wyoming,Coal,2025,3.7446501664382514e-10
Wyoming,Natural Gas,2025,7.856451431975589e-11
Wyoming,Petroleum,2025,2.384113838571786e-10
