state-name,fuel-name,period,predicted_value
Hawaii,All Fuels,2025,5.428934583003951
Hawaii,Coal,2023,1.214146177865615
Hawaii,Coal,2024,1.1977431600790567
Hawaii,Coal,2025,1.1813401422924912
Hawaii,Natural Gas,2023,0.0
Hawaii,Natural Gas,2024,0.0
Hawaii,Natural Gas,2025,0.0
Hawaii,Petroleum,2023,4.445636762845851
Hawaii,Petroleum,2024,4.346615884387347
Hawaii,Petroleum,2025,4.247595005928844
Idaho,All Fuels,2023,1.7950163913043582
Idaho,All Fuels,2024,1.8664751847826153
Idaho,All Fuels,2025,1.9379339782608724
Idaho,Coal,2023,0.0
Idaho,Coal,2024,0.0
Idaho,Coal,2025,0.0
Idaho,Natural Gas,2023,1.7954185573122743
Idaho,Natural Gas,2024,1.8669337559288692
Idaho,Natural Gas,2025,1.9384489545454642
Idaho,Petroleum,2023,0.0
Idaho,Petroleum,2024,0.0
Idaho,Petroleum,2025,0.0
Illinois,All Fuels,2023,56.20769571541496
Illinois,All Fuels,2024,54.18372872430791
Illinois,All Fuels,2025,52.159761733201776
Illinois,Coal,2023,47.460633173913266
Illinois,Coal,2024,45.11146356521749
Illinois,Coal,2025,42.76229395652172
Illinois,Natural Gas,2023,8.937819972332136
Illinois,Natural Gas,2024,9.29841437944674
Illinois,Natural Gas,2025,9.659008786561344
Illinois,Petroleum,2023,0.0
Illinois,Petroleum,2024,0.0
Illinois,Petroleum,2025,0.0
Indiana,All Fuels,2023,69.10369677865674
Indiana,All Fuels,2024,66.35824436166058
Indiana,All Fuels,2025,63.61279194466442
Indiana,Coal,2023,56.32914603557401
Indiana,Coal,2024,52.99923934288563
Indiana,Coal,2025,49.66933265019816
Indiana,Natural Gas,2023,12.455020581027611
Indiana,Natural Gas,2024,13.048722846838018
Indiana,Natural Gas,2025,13.642425112648198
Indiana,Petroleum,2023,0.3195298814229268
Indiana,Petroleum,2024,0.3102818715415019
Indiana,Petroleum,2025,0.3010338616600805
Iowa,All Fuels,2023,22.44179005138335
Iowa,All Fuels,2024,21.616405048418756
Iowa,All Fuels,2025,20.79102004545439
Iowa,Coal,2023,20.09805699604749
Iowa,Coal,2024,19.175063122529536
Iowa,Coal,2025,18.25206924901181
Iowa,Natural Gas,2023,2.277299916996043
Iowa,Natural Gas,2024,2.3784674209485956
Iowa,Natural Gas,2025,2.479634924901177
Iowa,Petroleum,2023,0.06643285770750929
Iowa,Petroleum,2024,0.06287419367588942
Iowa,Petroleum,2025,0.05931552964426867
Kansas,All Fuels,2023,20.370884399209444
Kansas,All Fuels,2024,19.46842916798414
Kansas,All Fuels,2025,18.565973936758837
Kansas,Coal,2023,19.06158727668003
Kansas,Coal,2024,18.1763769337947
Kansas,Coal,2025,17.29116659090937
Kansas,Natural Gas,2023,1.4001906640316228
Kansas,Natural Gas,2024,1.4100814367588939
Kansas,Natural Gas,2025,1.4199722094861684
Kansas,Petroleum,2023,0.0
Kansas,Petroleum,2024,0.0
Kansas,Petroleum,2025,0.0
Kentucky,All Fuels,2023,59.55643150197602
Kentucky,All Fuels,2024,57.73389771047414
Kentucky,All Fuels,2025,55.911363918972256
Kentucky,Coal,2023,53.38586601976249
Kentucky,Coal,2024,51.39576444169916
Kentucky,Coal,2025,49.405662863635825
Kentucky,Natural Gas,2023,6.111893019762761
Kentucky,Natural Gas,2024,6.426786789525636
Kentucky,Natural Gas,2025,6.741680559288511
Kentucky,Petroleum,2023,0.05867271936756424
Kentucky,Petroleum,2024,0.0
Kentucky,Petroleum,2025,0.0
Louisiana,All Fuels,2023,32.0875879090911
Louisiana,All Fuels,2024,31.578027013834117
Louisiana,All Fuels,2025,31.068466118577135
Louisiana,Coal,2023,9.048457379446745
Louisiana,Coal,2024,8.21414122628471
Louisiana,Coal,2025,7.379825073122674
Louisiana,Natural Gas,2023,18.22132731620559
Louisiana,Natural Gas,2024,18.442892643280686
Louisiana,Natural Gas,2025,18.664457970355784
Louisiana,Petroleum,2023,4.817803675889337
Louisiana,Petroleum,2024,4.920993623517802
Louisiana,Petroleum,2025,5.024183571146239
Maine,All Fuels,2023,0.13346281027668283
Maine,All Fuels,2024,0.0
Maine,All Fuels,2025,0.0
Maine,Coal,2023,0.03510884584980545
Maine,Coal,2024,0.018433843873516764
Maine,Coal,2025,0.001758841897235186
Maine,Natural Gas,2023,0.2313148458497949
Maine,Natural Gas,2024,0.0913717025691767
Maine,Natural Gas,2025,0.0
Maine,Petroleum,2023,0.0
Maine,Petroleum,2024,0.0
Maine,Petroleum,2025,0.0
Maryland,All Fuels,2023,8.310914363636584
Maryland,All Fuels,2024,7.156684031620898
Maryland,All Fuels,2025,6.002453699604757
Maryland,Coal,2023,4.070148640315892
Maryland,Coal,2024,2.8249030958495496
Maryland,Coal,2025,1.5796575513832067
Maryland,Natural Gas,2023,4.86730182608693
Maryland,Natural Gas,2024,5.0801613369565075
Maryland,Natural Gas,2025,5.293020847826085
Maryland,Petroleum,2023,0.0
Maryland,Petroleum,2024,0.0
Maryland,Petroleum,2025,0.0
Massachusetts,All Fuels,2023,3.895256225296407
Massachusetts,All Fuels,2024,2.9287122984189864
Massachusetts,All Fuels,2025,1.9621683715415656
Massachusetts,Coal,2023,0.0
Massachusetts,Coal,2024,0.0
Massachusetts,Coal,2025,0.0
Massachusetts,Natural Gas,2023,7.587108739130436
Massachusetts,Natural Gas,2024,7.556466608695651
Massachusetts,Natural Gas,2025,7.525824478260866
Massachusetts,Petroleum,2023,0.0
Massachusetts,Petroleum,2024,0.0
Massachusetts,Petroleum,2025,0.0
Michigan,All Fuels,2023,51.16217051778676
Michigan,All Fuels,2024,49.99491936166032
Michigan,All Fuels,2025,48.82766820553388
Michigan,Coal,2023,34.93710820553406
Michigan,Coal,2024,33.24771075889339
Michigan,Coal,2025,31.558313312253176
Michigan,Natural Gas,2023,14.885616205533552
Michigan,Natural Gas,2024,15.36729671541491
Michigan,Natural Gas,2025,15.84897722529638
Michigan,Petroleum,2023,1.339446079051399
Michigan,Petroleum,2024,1.3799118537549475
Michigan,Petroleum,2025,1.4203776284585103
Minnesota,All Fuels,2023,20.610224067193712
Minnesota,All Fuels,2024,19.90209938438761
Minnesota,All Fuels,2025,19.193974701581283
Minnesota,Coal,2023,16.098493205533714
Minnesota,Coal,2024,15.230817911067106
Minnesota,Coal,2025,14.363142616600726
Minnesota,Natural Gas,2023,4.730597411067208
Minnesota,Natural Gas,2024,4.931352148221379
Minnesota,Natural Gas,2025,5.132106885375492
Minnesota,Petroleum,2023,0.0
Minnesota,Petroleum,2024,0.0
Minnesota,Petroleum,2025,0.0
Mississippi,All Fuels,2023,25.045811177865613
Mississippi,All Fuels,2024,25.057959355731224
Mississippi,All Fuels,2025,25.07010753359684
Mississippi,Coal,2023,3.2803889407114184
Mississippi,Coal,2024,2.6149917183795424
Mississippi,Coal,2025,1.949594496047439
Mississippi,Natural Gas,2023,22.422361039525413
Mississippi,Natural Gas,2024,23.196774839920636
Mississippi,Natural Gas,2025,23.971188640316086
Mississippi,Petroleum,2023,0.0
Mississippi,Petroleum,2024,0.0
Mississippi,Petroleum,2025,0.0
Missouri,All Fuels,2023,61.799996624505866
Missouri,All Fuels,2024,61.123233890316214
Missouri,All Fuels,2025,60.446471156126336
Missouri,Coal,2023,58.250992762845954
Missouri,Coal,2024,57.48560363438742
Missouri,Coal,2025,56.72021450592888
Missouri,Natural Gas,2023,3.544370612648237
Missouri,Natural Gas,2024,3.6453437905138344
Missouri,Natural Gas,2025,3.7463169683794604
Missouri,Petroleum,2023,0.004633205533597362
Missouri,Petroleum,2024,0.0
Missouri,Petroleum,2025,0.0
Montana,All Fuels,2023,13.679890865612606
Montana,All Fuels,2024,13.412489426877414
Montana,All Fuels,2025,13.145087988142222
Montana,Coal,2023,12.517233758893212
Montana,Coal,2024,12.231617996047362
Montana,Coal,2025,11.946002233201511
Montana,Natural Gas,2023,0.39855128458497546
Montana,Natural Gas,2024,0.417601884387345
Montana,Natural Gas,2025,0.4366524841897217
Montana,Petroleum,2023,0.7641057944664029
Montana,Petroleum,2024,0.7632695237154148
Montana,Petroleum,2025,0.7624332529644267
Nebraska,All Fuels,2023,22.62186741897233
Nebraska,All Fuels,2024,22.667644522727272
Nebraska,All Fuels,2025,22.713421626482216
