period,location,stateDescription,fueltypeid,energy_production_MWh
2010,AK,Alaska,PET,2.4769839308473998
2010,IL,Illinois,NG,12.625296545851
2010,ID,Idaho,NG,3.5739929065179
2010,DE,Delaware,PET,0.17590711763539998
2010,NH,New Hampshire,NUC,33.4194480164223
2010,NJ,New Jersey,NG,55.7846597105212
2010,ME,Maine,NG,12.417567771435
2010,LA,Louisiana,NG,75.86479041040869
2010,KY,Kentucky,NG,5.7778052930183
2010,NV,Nevada,SUN,0.6153671871004
2010,NE,Nebraska,NUC,33.8614109128251
2010,PA,Pennsylvania,NG,72.9129023948905
2010,KS,Kansas,COL,104.7013542232595
2010,PA,Pennsylvania,SUN,0.0213179896318
2010,UT,Utah,WND,1.2800084131998999
2010,WI,Wisconsin,NUC,40.6872266293206
2010,ME,Maine,PET,0.7404909497262
2010,FL,Florida,PET,28.4378757906442
2010,NE,Nebraska,COL,70.86771179431689
2010,TX,Texas,NUC,126.61725572923069
2010,WI,Wisconsin,PET,1.7680215668318
2010,WY,Wyoming,COL,132.6646395152778
2010,ND,North Dakota,NG,0.0005656271651
2010,OR,Oregon,NG,32.357252953157094
2010,OH,Ohio,WND,0.0359568895783
2010,OH,Ohio,SUN,0.0367335279138
2010,IL,Illinois,PET,0.3488893859922
2010,VA,Virginia,NG,41.88170225074099
2010,IL,Illinois,SUN,0.040443807660000004
2010,KS,Kansas,NG,8.3145464150387
2010,TX,Texas,NG,361.5269944537017
2010,NH,New Hampshire,WND,0.2164066087987
2010,FL,Florida,SUN,0.2299963143146
2010,IN,Indiana,NG,15.366463531328499
2010,NC,North Carolina,NG,21.562322982859
2010,VT,Vermont,NUC,14.649570664158698
2010,LA,Louisiana,PET,9.464882602606401
2010,VT,Vermont,WND,0.0397199221171
2010,OK,Oklahoma,NG,87.4821159023659
2010,PA,Pennsylvania,NUC,238.4021465065223
2010,IL,Illinois,WND,12.7338324859148
2010,MI,Michigan,COL,198.5075716159665
2010,VT,Vermont,PET,0.0202746566226
2010,OK,Oklahoma,COL,97.7803343696745
2010,OR,Oregon,WND,11.208089841941298
2010,AZ,Arizona,PET,0.1956337313571
2010,AR,Arkansas,NG,27.3210288342454
2010,RI,Rhode Island,NG,16.960345199077
2010,MI,Michigan,PET,0.9980505981743
2010,MD,Maryland,WND,0.0042729762006
2010,MD,Maryland,PET,1.1257651090589
2010,OH,Ohio,PET,4.1460060902332
2010,WV,West Virginia,PET,0.46104182305979996
2010,NY,New York,WND,7.4229275066456
2010,CA,California,WND,17.3800346941598
2010,CA,California,SUN,2.1884232246147
2010,CA,California,COL,5.4582523211330995
2010,TN,Tennessee,COL,130.05519625292249
2010,MO,Missouri,WND,2.6461621367156
2010,AZ,Arizona,NG,66.72105215559759
2010,WY,Wyoming,NG,0.1717308548879
2010,RI,Rhode Island,PET,0.0385740142334
2010,MT,Montana,PET,1.3226971452561
2010,MN,Minnesota,COL,84.91691171802711
2010,NC,North Carolina,SUN,0.0324224524741
2010,NC,North Carolina,COL,209.74845611064077
2010,SC,South Carolina,NUC,159.2732125783532
2010,AR,Arkansas,NUC,46.0171489903221
2010,IL,Illinois,NUC,294.6459049789092
2010,ND,North Dakota,COL,91.53268339865359
2010,ID,Idaho,PET,0.0002549718309
2010,MA,Massachusetts,SUN,0.0018756548480000001
2010,FL,Florida,COL,177.24040929983659
2010,NC,North Carolina,NUC,124.7999015091858
2010,OK,Oklahoma,PET,0.041372842951899996
2010,VT,Vermont,NG,0.0163475042846
2010,NE,Nebraska,WND,1.2055683614199
2010,NE,Nebraska,PET,0.097797816059
2010,WV,West Virginia,COL,226.7023596075992
2010,MO,Missouri,NG,11.7810203381057
2010,MO,Missouri,PET,0.42397126341549995
2010,TN,Tennessee,NG,6.6257536812707
2010,VA,Virginia,PET,3.9186503462593003
2010,AL,Alabama,PET,0.366221609072
2010,AK,Alaska,WND,0.0360448108993
2010,MA,Massachusetts,NG,56.2952715743608
2010,NM,New Mexico,WND,5.238577969903901
2010,NM,New Mexico,PET,0.1526636510737
2010,AZ,Arizona,COL,131.0430010864896
2010,SC,South Carolina,NG,26.1644971242579
2010,RI,Rhode Island,WND,0.0089328062136
2010,OR,Oregon,COL,11.926958008122899
2010,NY,New York,NG,122.47873467412529
2010,UT,Utah,PET,0.1366854163373
2010,ID,Idaho,WND,1.2601821553144
2010,AZ,Arizona,NUC,95.5709800092404
2010,TX,Texas,SUN,0.0234691312856
2010,NH,New Hampshire,NG,11.8635286364428
2010,NH,New Hampshire,COL,9.9137473227077
2010,NV,Nevada,COL,22.2839723934949
2010,TN,Tennessee,PET,0.6749075056816
2010,NY,New York,PET,6.159096616509699
2010,NJ,New Jersey,NUC,100.39531374454211
2010,KY,Kentucky,PET,7.277083619370799
2010,MD,Maryland,NG,8.5770062117772
2010,KS,Kansas,WND,9.7357652618967
2010,PA,Pennsylvania,WND,5.3010489991851
2010,HI,Hawaii,PET,21.903516322553
2011,WV,West Virginia,PET,0.5548714568309999
2011,AZ,Arizona,NG,53.838418695311695
2011,VA,Virginia,NUC,78.34793176443681
2011,NE,Nebraska,WND,2.992372853128
2011,NE,Nebraska,PET,0.1189692701558
2011,WV,West Virginia,COL,218.73795692273228
2011,TX,Texas,SUN,0.0815499559382
2011,ND,North Dakota,WND,14.9082293291193
2011,WI,Wisconsin,COL,120.311594270614
2011,NJ,New Jersey,WND,0.029963586196799997
2011,CT,Connecticut,NG,32.026812391021394
2011,OK,Oklahoma,COL,107.4000727949582
